City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Egvekinot,RU,66.32,-179.17,-15.56,84,18,15.14,few clouds
321,Sebeta,ET,8.92,38.62,52.61,86,42,2.28,scattered clouds
322,Bambanglipuro,ID,-7.95,110.28,75.38,84,100,4.7,overcast clouds
323,Cidreira,BR,-30.18,-50.21,73.72,66,93,4.5,overcast clouds
324,Chaihe,CN,44.77,129.7,-1.53,91,36,6.22,scattered clouds
325,Notodden,NO,59.56,9.26,44.01,86,97,5.01,overcast clouds
326,Ulladulla,AU,-35.35,150.47,70.0,82,90,6.93,overcast clouds
327,Aketi,CD,2.74,23.78,72.03,58,61,0.49,broken clouds
328,Carnarvon,AU,-24.87,113.63,77.0,65,0,17.22,clear sky
329,Portland,US,45.52,-122.68,51.01,93,90,4.7,light rain
330,Okhotsk,RU,59.38,143.3,-11.25,90,100,8.95,overcast clouds
331,Meadow Lake,US,34.8,-106.54,50.0,30,40,3.36,scattered clouds
332,San Carlos De Bariloche,AR,-41.15,-71.31,68.0,37,20,26.4,few clouds
333,Ancud,CL,-41.87,-73.82,60.01,71,90,4.7,overcast clouds
334,Cuamba,MZ,-14.8,36.54,71.74,88,100,2.28,light rain
335,Bumba,CD,2.18,22.47,74.35,64,5,1.39,clear sky
336,Anloga,GH,5.79,0.9,82.4,83,20,9.17,few clouds
337,Beira,MZ,-19.84,34.84,77.0,94,75,4.7,broken clouds
338,Vostok,RU,46.49,135.88,-9.31,92,100,5.35,overcast clouds
339,Luxeuil-Les-Bains,FR,47.82,6.37,44.6,100,90,3.36,overcast clouds
340,Broken Hill,AU,-31.95,141.43,68.0,77,90,10.29,heavy intensity rain
341,Tarko-Sale,RU,64.92,77.78,-11.99,81,98,16.62,overcast clouds
342,Provideniya,RU,64.38,-173.3,-0.4,70,0,13.42,clear sky
343,Iqaluit,CA,63.75,-68.51,-5.01,70,40,2.24,scattered clouds
344,Lorengau,PG,-2.02,147.27,83.41,75,68,5.84,light rain
345,Hooksett,US,43.1,-71.47,28.99,92,90,6.93,snow
346,Lata,PT,40.16,-8.33,57.99,87,0,4.7,clear sky
347,Iralaya,HN,15.0,-83.23,80.26,78,2,8.81,light rain
348,Ormara,PK,25.21,64.64,70.41,55,100,6.51,overcast clouds
349,Santiago,CL,-33.46,-70.65,86.0,19,0,9.17,clear sky
350,Guerrero Negro,MX,27.98,-114.06,72.18,22,100,9.19,overcast clouds
351,Swan Hill,AU,-35.34,143.55,75.69,20,93,13.09,overcast clouds
352,Tara,RU,56.89,74.37,9.32,95,100,13.09,light snow
353,Huangpi,CN,30.88,114.38,30.2,86,9,6.71,mist
354,Narsaq,GL,60.92,-46.05,24.8,58,100,9.17,light snow
355,Lac Du Bonnet,CA,50.25,-96.06,19.0,78,100,13.87,overcast clouds
356,Saldanha,ZA,-33.01,17.94,66.2,72,0,8.05,clear sky
357,Fukue,JP,32.69,128.84,47.59,60,100,14.61,overcast clouds
358,Puerto Madero,MX,14.72,-92.42,87.8,62,20,6.93,few clouds
359,Nishihara,JP,26.18,127.76,62.6,54,90,5.82,overcast clouds
360,Cockburn Town,TC,21.46,-71.14,78.8,78,40,11.41,scattered clouds
361,Aviles,ES,43.55,-5.92,55.99,93,75,1.12,broken clouds
